19095,18875,19130,19330
19124,18743,19149,19311
19281,18978,19294,19361
19301,19136,19301,19219
19248,19263,19239,18978
18918,19146,18906,18434
18506,18941,18495,17819
17821,18409,17812,16942
17077,17815,17063,16005
16015,16896,15992,16427
16461,15845,16471,17211
17121,16369,17156,17610
17192,16872,17296,17066
16493,16886,16671,17452
17420,16480,17439,17630
17656,17804,17729,16841
16986,18120,17259,16039
16194,17502,16123,17506
18157,16359,16697,18522
19606,16472,18176,18514
19849,17912,19319,19354
20355,18955,19720,18960
19166,19146,19286,16967
16482,18263,18945,15066
15210,16982,17745,14286
15359,15573,15960,12293
15936,13594,13642,10877
17113,11255,10992,9404
17071,8712,8190,7538
16336,6425,6163,6174
15996,5103,4776,4995
16630,4248,3676,3711
17180,3469,2959,3313
17429,2938,2764,3338
17214,2797,2536,4367
16500,2661,2336,5527
15220,2490,2207,6321
14082,2323,2153,6703
13261,2112,2079,6506
11985,1923,1947,6214
10527,1701,1820,6046
8932,1521,1652,5704
7454,1404,1506,5214
6006,1252,1335,4689
5221,1122,1179,4581
4401,966,992,4630
3672,840,832,4684
2966,693,672,4709
2663,578,592,4781
2582,457,469,4859
2463,404,426,5004
2247,334,339,5141
2007,317,330,5259
1822,270,268,5193
1502,235,273,4878
1429,181,232,4192
2244,130,276,3209
3570,114,317,2694
5200,83,371,3325
6873,121,353,4855
8616,208,322,6247
10229,178,271,7614
11754,78,251,8789
12945,817,164,9798
13828,2074,153,10390
14211,3959,101,10602
14217,6238,138,10269
13750,8798,124,9579
12989,11286,186,8541
13052,13523,192,7416
12791,15154,245,6182
12234,16149,207,5083
11549,16390,211,4465
10768,16144,159,3852
10035,15443,191,3247
9348,14512,174,2745
8787,14119,217,2300
8317,13568,175,1964
7997,12577,180,1691
7771,11371,143,1518
7732,10004,156,1361
7848,8691,139,1254
7965,7363,185,1142
8084,6322,155,1179
8096,5666,167,1307
8023,4993,107,1507
7767,4281,112,1617
7358,3608,69,1727
6748,2940,112,1718
6036,2462,87,1742
5251,2218,98,1700
4521,1949,62,1818
3843,1687,25,1911
3289,1379,59,1960
2814,1090,58,1893
2486,791,84,1787
2261,673,75,1630
2180,533,84,1648
2180,489,44,1649
2287,492,27,1583
2396,579,70,1485
2539,578,78,1322
2609,605,125,1159
2613,542,80,967
2450,522,90,853
2153,451,61,738
1673,411,90,700
1428,344,99,601
1594,311,105,577
2279,268,91,520
3031,264,85,575
3674,244,66,660
4293,239,74,799
4682,195,52,909
4900,172,30,1022
4785,125,28,1069
4492,115,21,1104
3966,81,12,1065
3424,81,54,1026
3022,39,40,931
2861,57,71,941
2672,126,50,867
2518,125,107,827
2331,150,411,691
2163,104,838,600
1934,142,1703,432
1738,140,2781,313
1609,204,4108,200
1468,174,5448,172
1374,165,6826,189
1264,122,8015,210
1260,163,9037,254
1344,164,9644,200
1419,185,9861,206
1450,154,9851,142
1636,179,9756,161
1691,201,9290,150
1830,256,8595,214
2080,240,7734,228
2251,188,6852,320
2270,179,5945,330
2178,475,5130,374
1945,943,4743,328
1826,1535,4262,340
1715,2159,3776,308
1541,2829,3269,360
1371,3461,2793,324
1163,4188,2309,342
1105,4749,1921,309
996,5190,1603,374
924,5317,1371,391
771,5258,1133,466
680,4934,1020,465
598,4541,1006,496
