18836,18914,19180
18778,18952,19194
18737,19141,19328
19012,19248,19319
19236,19332,19232
19215,19185,18872
19095,18952,18431
18664,18395,17733
18170,17779,16973
17343,16844,15890
16427,15790,16557
15902,16409,17218
16631,16902,17298
17040,16919,16583
16975,16558,17518
17628,17881,17686
18609,18172,17104
18613,17514,15879
17904,16321,16966
16572,16524,18453
16067,17969,19519
17371,18997,19795
18113,19159,19354
17978,18239,18884
16940,16783,17622
15017,15281,15798
12606,13207,13422
10841,10792,10725
8788,8197,7924
6886,5881,5936
5205,4392,4598
4185,3541,3535
3677,2782,2809
3294,2555,2605
2923,2465,2380
2672,2393,2208
2384,2272,2242
2157,2146,2211
1957,2009,2147
1811,1916,2010
1630,1807,1867
1481,1644,1685
1316,1490,1513
1196,1312,1316
1057,1176,1139
947,1028,948
805,914,860
688,818,729
549,865,662
452,857,537
351,937,480
298,981,372
238,1095,345
228,1105,274
191,1104,278
220,947,244
187,895,231
193,910,188
126,981,182
130,1019,183
80,1046,205
102,1072,212
60,1221,237
75,1501,210
54,1846,203
75,2287,161
67,2731,160
102,3208,114
116,3628,122
188,4007,71
173,4251,85
191,4396,70
125,4376,104
122,4258,90
77,4006,120
110,3695,91
128,3294,130
144,2892,114
160,2456,171
120,2205,146
104,2038,178
31,1843,149
21,1679,178
60,1477,135
48,1396,154
77,1297,98
39,1215,96
39,1030,32
11,916,48
42,767,16
60,721,69
92,638,65
92,623,114
68,599,85
48,615,107
19,604,65
67,609,84
71,571,60
84,593,101
65,553,83
76,550,129
70,463,131
111,435,184
70,363,141
79,339,138
21,249,55
41,242,55
12,177,56
31,170,99
18,114,182
0,119,260
36,106,372
14,110,451
4,96,556
52,142,674
19,136,900
31,176,1067
36,140,1281
63,165,1392
141,123,1776
154,142,2098
183,92,2411
154,112,2565
119,88,2683
72,149,2895
39,158,3070
35,232,3143
63,227,3127
73,279,2952
109,273,2664
107,340,2305
128,343,2143
110,391,1971
106,349,1758
109,342,1562
81,258,1325
103,234,1114
48,177,899
55,172,816
52,164,663
46,206,558
17,223,370
63,254,297
74,254,213
108,308,235
69,285,211
57,306,204
15,254,219
44,247,193
35,174,175
14,164,120
50,96,66
38,102,65
87,62,52
